"","a","c","path_estimate_y_x1.Y ~ X1","path_estimate_y_x2.Y ~ X2","sd_bootstrap_y_x1","Z_test_boot_y_x1.Y ~ X1","Z_test_boot_y_x2.Y ~ X2","perc_ci_lb_boot_y_x1","perc_ci_ub_boot_y_x1","perc_ci_sgn_same_y_x1","sd_delta_y_x1","Z_test_delta_y_x1.Y ~ X1","sd_delta_y_x2","Z_test_delta_y_x2.Y ~ X2","Sim_run","simulation_run","n","c_estimate"
"result.29",0,0,0.0701344218463799,0.480470718492954,0.15671262994975,1,0,-0.16638420426725,0.485191942579039,0,0.187290295412285,1,0.13433380075222,0,29,1,50,0.294314877549022
"result.30",0,0,0.12475391310177,0.633070894637998,0.217705124166625,1,0,-0.35010387898934,0.397264356888159,0,0.0969627398872369,1,0.061519031545044,0,30,1,50,0.0456014622636906
"result.31",0,0,0.184075436699154,0.482071606730604,0.329474605089719,1,1,-0.621145942998472,0.517123442655559,0,0.192186968977977,1,0.101330972205878,0,31,1,50,0.00457601346506872
"result.32",0,0,0.198667813418371,0.494678327432277,0.272059248974135,1,0,-0.423381091177155,0.460985031145123,0,0.112749374787768,1,0.0844929484613974,0,32,1,50,0.119575842179445
"result.33",0,0,-0.102142007661305,0.625802860671236,0.232479963716609,1,0,-0.473820623534967,0.37729217835038,0,0.326678833100188,1,0.0780062951874318,0,33,1,50,-0.0027116177765792
"result.34",0,0,0.178977930093358,0.504432252322017,0.246600059633583,1,0,-0.404884114787556,0.556404715023503,0,0.111645530860228,1,0.0930274190795455,0,34,1,50,0.0537941403963682
"result.35",0,0,-0.26665101311934,0.388660331698335,0.265598253535889,1,0,-0.548810350818793,0.457327057015883,0,0.129042941927732,0,0.0907939001084719,0,35,1,50,-0.377854119514124
"result.36",0,0,-0.423867393841507,0.23624533293149,0.334712965544555,1,1,-0.695982587434469,0.531758063475657,0,0.130162956879189,0,0.126637422816131,1,36,1,50,-0.302189664346227
"result.37",0,0,-0.196132742278247,0.556079140578277,0.272356954262359,1,0,-0.4437495190556,0.470028627609891,0,0.117614366078416,1,0.0815073865912241,0,37,1,50,-0.0745107479763671
"result.38",0,0,0.0812724104726262,0.630393610812143,0.150762366334033,1,0,-0.187197199748191,0.428754608242419,0,0.131078882267807,1,0.0965091800673475,0,38,1,50,0.174921320275196
"result.39",0,0,0.101338237162001,0.629460261604987,0.220459390810243,1,0,-0.404568558393592,0.447914477162471,0,0.166842015206516,1,0.108945115607605,0,39,1,50,0.212501030112646
"result.40",0,0,-0.153146279050739,0.434596117339587,0.271874058006752,1,0,-0.522860880299253,0.442965633124489,0,0.133044850704496,1,0.138330747491888,0,40,1,50,-0.0556626284286044
"result.41",0,0,-0.146040524946604,0.578612589106583,0.26250066719589,1,0,-0.461409188587071,0.403157361939608,0,0.1100567610681,1,0.0734878623189201,0,41,1,50,-0.239912641337197
"result.42",0,0,0.0283408905944806,0.60893885149442,0.176408610463609,1,0,-0.365586762943463,0.353181554608957,0,0.116968157066768,1,0.0762352865175152,0,42,1,50,-0.296247822821077
"result.43",0,0,0.152455240081956,0.564317915137272,0.266535146411258,1,0,-0.445060492091802,0.413002903265732,0,0.143794022017385,1,0.0795770954415483,0,43,1,50,-0.00923144985670058
"result.44",0,0,0.218524830968672,0.45400792368951,0.366207560915998,1,0,-0.594007465771137,0.616665104244601,0,0.218074587121501,1,0.138908749177404,0,44,1,50,-0.0746191704321595
"result.45",0,0,-0.184114496700896,0.507531429223068,0.249155083548149,1,0,-0.519309713392594,0.37106683611745,0,0.18598793824921,1,0.0892116785254268,0,45,1,50,-0.0529244920702838
"result.46",0,0,-0.204848254955621,0.58702601678359,0.21884630038985,1,0,-0.514477245412385,0.370218392318485,0,0.180517841062306,1,0.106746622436029,0,46,1,50,-0.0076576971708138
"result.47",0,0,0.26232656418964,0.665741443043586,0.124778232484822,0,0,0.0131890878802844,0.491330613305854,1,0.103406983929326,0,0.0665265300445399,0,47,1,50,0.134507617842285
"result.48",0,0,-0.0652804058346897,0.640540468503038,0.183940612779932,1,0,-0.46169261602063,0.30749429648742,0,0.112411254336184,1,0.0898241417236467,0,48,1,50,-0.268628927890766
"result.49",0,0,-0.300739522921847,0.604408515466132,0.178108329729607,1,0,-0.536770704790761,0.265568361123431,0,0.0925728341088363,0,0.0791297719994797,0,49,1,50,-0.12554350052203
"result.50",0,0,-0.218985256412898,0.473211337495359,0.242872109890761,1,0,-0.536173929107734,0.404164710384612,0,0.157085789932346,1,0.114745973007914,0,50,1,50,-0.0958353468242996
"result.51",0,0,-0.27510146506366,0.55284650836304,0.261710454669406,1,0,-0.523936797102736,0.500487835609179,0,0.140474274768867,1,0.111519129757252,0,51,1,50,-0.375117556963414
"result.52",0,0,0.215724703849238,0.607893523964952,0.269691215246497,1,0,-0.40188864804734,0.46662094738485,0,0.113109038172175,1,0.0724707062986093,0,52,1,50,0.0856955031051001
"result.53",0,0,-0.0485317896470178,0.638895591612995,0.210195069730534,1,0,-0.45233268746237,0.364754620121875,0,0.203743567424229,1,0.14374650405921,0,53,1,50,-0.135871264508581
"result.54",0,0,-0.267951089231597,0.519911541256271,0.235884457076348,1,0,-0.570855975844922,0.36744639408268,0,0.104706967134442,0,0.100114087869478,0,54,1,50,-0.0637292366378258
